"method" "n" "iter" "satisficing.M1000" "satisficing.LB.Dur" "satisficing.LB.Max" "satisficing.aggregated" "regret_best.M1000" "regret_best.LB.Dur" "regret_best.LB.Max"
"1" "clhs" 50 1 0.0372311015118791 0.0287170626349892 0.00781425485961124 0.0601641468682505 3.06288336933046 1.81771058315335 36.5793410215983
"2" "clhs" 50 2 0.00306263498920087 -0.00575377969762419 0.0068207343412527 0.00418142548596112 1.09210799136069 -0.675377969762417 8.01151287257021
"3" "clhs" 50 3 -0.0213434125269978 -0.0397494600431965 0.00548164146868251 0.000855291576673866 7.3358120950324 2.73110151187905 65.9643057278618
"4" "clhs" 50 4 0.0205572354211663 0.00163282937365011 0.0110539956803456 0.0326047516198704 8.85712311015119 3.26133909287257 9.25069934125266
"5" "clhs" 50 5 0.0200388768898488 0.0199481641468682 0.0133002159827214 0.0108336933045356 -5.95202375809935 -1.75766738660907 -129.687174721382
"6" "clhs" 50 6 -0.0263110151187905 -0.0241123110151188 -0.00207775377969762 -0.0385399568034557 -5.24825701943844 -1.01771058315335 -78.2651070799137
"7" "clhs" 50 7 -0.0125313174946004 -0.022902807775378 -0.00587904967602592 -0.0308941684665227 -0.29332397408207 -0.97840172786177 -22.0175619913606
"8" "clhs" 50 8 -0.0234600431965443 -0.0236803455723542 -0.00134341252699783 -0.0205269978401728 9.80912742980562 3.58596112311015 43.4341070842333
"9" "clhs" 50 9 -0.0536112311015119 -0.0685183585313175 -0.000997840172786173 -0.0368120950323974 5.63011879049676 0.854859611231103 87.3419733434126
"10" "clhs" 50 10 0.024488120950324 0.0315680345572354 0.0112699784017279 0.0242246220302376 1.18467602591793 -0.72764578833693 15.6239910475163
"11" "clhs" 50 11 0.0231490280777538 0.0494082073434125 0.0040561555075594 0.0126911447084233 -1.12128293736501 -1.14600431965443 -109.677751665227
"12" "clhs" 50 12 0.0235809935205184 0.00547732181425486 -0.00955075593952484 0.00729157667386609 -1.3172656587473 -1.26349892008639 7.63641278401732
"13" "clhs" 50 13 -0.0266565874730022 -0.0169848812095032 0.00379697624190065 -0.0334859611231101 -1.05703455723542 -0.111231101511878 -30.6193522483801
"14" "clhs" 50 14 -0.0370669546436285 -0.0380647948164147 -0.0187948164146868 -0.0594038876889849 -5.05133045356371 -1.26133909287257 68.8424767300217
"15" "clhs" 50 15 0.01014686825054 0.0266004319654428 -0.00695896328293736 0.0121727861771058 1.22482505399568 0.259611231101513 -17.9327865161988
"16" "clhs" 50 16 0.0437537796976242 0.0465572354211663 0.00388336933045356 0.0450021598272138 1.95646436285098 1.05550755939525 11.3262366285097
"17" "clhs" 50 17 -0.00700215982721382 0.00184881209503239 -0.00613822894168466 -0.0266609071274298 4.73204319654428 1.90518358531318 33.7317587451405
"18" "clhs" 50 18 -0.00142980561555075 0.0194730021598272 -0.0105442764578834 -0.00886393088552915 1.15883369330454 0.127213822894171 12.4477042678186
"19" "clhs" 50 19 -0.0616889848812095 -0.0800518358531317 -0.0243239740820734 -0.0785831533477322 4.01007559395249 2.69784017278618 88.1731935831534
"20" "clhs" 50 20 -0.0347775377969762 -0.00225485961123111 -0.0028120950323974 -0.0376760259179266 -0.0335723542116594 0.0870410367170646 -50.6365961403887
"21" "clhs" 50 21 0.0048768898488121 0.0010280777537797 0.00267386609071275 0.040682505399568 4.39376889848813 2.21166306695465 87.3173299740822
"22" "clhs" 50 22 0.014207343412527 -0.0226004319654428 0.0104924406047516 0.0129503239740821 2.59399136069115 0.301295896328296 -45.5255938833693
"23" "clhs" 50 23 0.0492397408207343 0.0414168466522678 0.0247041036717063 0.0342462203023758 -8.13220950323974 -2.90410367170626 -232.025727077754
"24" "clhs" 50 24 -0.0620345572354212 -0.0642419006479482 -0.0218617710583153 -0.0742203023758099 9.06806695464363 3.49805615550756 81.9373767796977
"25" "clhs" 50 25 0.07014686825054 0.0537710583153348 0.0164103671706264 0.0701857451403888 -8.57261339092872 -3.61015118790497 -95.5476659416847
"26" "clhs" 50 26 -0.0586652267818575 -0.0520172786177106 -0.00117062634989201 -0.038280777537797 7.23635853131749 3.48984881209503 80.1727871576674
"27" "clhs" 50 27 0.0472095032397408 0.0292786177105831 0.00949892008639309 0.0735550755939525 4.84063714902808 2.05572354211663 39.280633025918
"28" "clhs" 50 28 0.0140345572354212 0.00616846652267819 0.00695032397408208 0.0243974082073434 -2.25174298056155 -1.40215982721382 37.0070267559396
"29" "clhs" 50 29 -0.0213434125269978 -0.0460129589632829 -0.00950755939524838 -0.0535291576673866 4.50275809935206 1.51317494600432 -61.9195664276459
"30" "clhs" 50 30 0.0177494600431965 -0.0085183585313175 -0.005792656587473 0.00577969762419006 5.42050323974082 2.57645788336933 -5.35134136501077
"31" "clhs" 100 1 -0.00354643628509719 -0.00419870410367171 0.00325701943844493 -0.0148034557235421 0.716773218142531 1.54535637149028 -176.015674116631
"32" "clhs" 100 2 0.000470842332613393 -0.00108855291576674 0.00334341252699784 -0.00344276457883369 0.168684665226763 -0.957235421166312 -135.062721915767
"33" "clhs" 100 3 -0.0103498920086393 -0.0161425485961123 0.000319654427645787 0.00163282937365011 1.44168034557235 0.307127429805612 23.5363656047514
"34" "clhs" 100 4 -0.00263930885529157 -0.0150194384449244 0.00291144708423326 -0.00579697624190065 -2.454060475162 -1.81965442764579 39.9092320064795
"35" "clhs" 100 5 -0.0238056155507559 -0.0176760259179266 -0.00527429805615551 -0.029792656587473 -0.81521598272139 -1.26133909287257 23.5061921317493
"36" "clhs" 100 6 0.0248336933045356 0.0191058315334773 0.00461771058315335 0.0340086393088553 3.19934125269977 2.0023758099352 28.4742369999999
"37" "clhs" 100 7 -0.00192656587473002 0.00865226781857451 0.0010755939524838 -0.00812958963282937 -2.17830669546437 -0.94298056155508 -29.2479985291579
"38" "clhs" 100 8 0.00366738660907128 0.0151317494600432 0.00116198704103672 -0.006207343412527 -4.73168250539958 -1.86090712742981 -21.1412247710585
"39" "clhs" 100 9 0.0115075593952484 0.0100777537796976 -0.000133909287257018 0.00359827213822895 -3.12895032397409 -0.177753779697632 -19.5891150993521
"40" "clhs" 100 10 -0.00186177105831533 -0.0126004319654428 0.00429373650107992 -0.0055377969762419 1.70461555075593 0.904103671706258 -66.8015307624193
