"method" "n" "iter" "mindist" "MSTmean" "MSTsd"
"82" "cLHS" 150 22 0.160277920513639 0.324986786087548 0.0701675594727095
"83" "cLHS" 150 23 0.129548081748482 0.306872904712452 0.0700388414300113
"84" "cLHS" 150 24 0.127645808130635 0.314873487505948 0.0763472890786129
"85" "cLHS" 150 25 0.121755275518918 0.323312978907321 0.0872194512682839
"86" "cLHS" 150 26 0.126368604048895 0.323104483096699 0.0717846451488468
"87" "cLHS" 150 27 0.126788023521455 0.328233224074242 0.0730035504356613
"88" "cLHS" 150 28 0.145763633886954 0.298508065986908 0.0753446780919753
"89" "cLHS" 150 29 0.153612966448012 0.299006802815411 0.0697980152493585
"90" "cLHS" 150 30 0.135323874975912 0.310989601323048 0.069537956359626
"91" "cLHS" 200 1 0.14375458742623 0.293468165178903 0.0764649076409283
"92" "cLHS" 200 2 0.115211946817898 0.293246455018996 0.074763767688656
"93" "cLHS" 200 3 0.135998833138809 0.286210358837026 0.0725456379464518
"94" "cLHS" 200 4 0.0983731995588476 0.272494505696896 0.0766643601143455
"95" "cLHS" 200 5 0.129065718705612 0.29106069607873 0.0742452753593971
"96" "cLHS" 200 6 0.125184476182547 0.290439876572065 0.0764894760834415
"97" "cLHS" 200 7 0.118141128838647 0.301306217062478 0.0695222858604917
"98" "cLHS" 200 8 0.118108066587797 0.301280847145186 0.0723697223297225
"99" "cLHS" 200 9 0.125063824963766 0.284392197832433 0.0693143650533292
"100" "cLHS" 200 10 0.126641026448116 0.299100218081556 0.0759111128571049
"101" "cLHS" 200 11 0.126166255384375 0.280869263140231 0.0696663417277049
"102" "cLHS" 200 12 0.132991207466015 0.283346798047195 0.0668611537479681
"103" "cLHS" 200 13 0.102775569638281 0.286632487635534 0.0725061367822716
"104" "cLHS" 200 14 0.136958300169652 0.303091994180622 0.0695665066994997
"105" "cLHS" 200 15 0.12833700709516 0.284710451330057 0.0686800750942199
"106" "cLHS" 200 16 0.103342176389462 0.287841970519303 0.0682610948231676
"107" "cLHS" 200 17 0.11543844985405 0.291952053658083 0.0793830678303622
"108" "cLHS" 200 18 0.121125867941604 0.305377047321372 0.0692357648347119
"109" "cLHS" 200 19 0.117514183338424 0.295274886422734 0.073859659602577
"110" "cLHS" 200 20 0.117759585360731 0.298510346850141 0.0750404301685184
"111" "cLHS" 200 21 0.128828826406923 0.284642545271995 0.0752935665850509
"112" "cLHS" 200 22 0.124660079838544 0.292587950985181 0.0720638848836521
"113" "cLHS" 200 23 0.129023341370901 0.282482781841007 0.0686019423981233
"114" "cLHS" 200 24 0.111787404195521 0.297660324497352 0.071838204116841
"115" "cLHS" 200 25 0.121264090089474 0.305344240207102 0.0740893814835053
"116" "cLHS" 200 26 0.0991789004187604 0.278177773117418 0.0687235300502503
"117" "cLHS" 200 27 0.102362049621236 0.282953544667203 0.069181421800372
"118" "cLHS" 200 28 0.0988943521241687 0.283561444603774 0.0683646545090752
"119" "cLHS" 200 29 0.140982680668347 0.295405868559252 0.0664558464496991
"120" "cLHS" 200 30 0.127635562183379 0.303006792958851 0.0722079873385174
"121" "cLHS" 250 1 0.109361791635547 0.272011326013222 0.0690515610788026
"122" "cLHS" 250 2 0.101364204711435 0.262158630837132 0.0691574280360813
"123" "cLHS" 250 3 0.101555444581805 0.26887976652146 0.0691736656711468
"124" "cLHS" 250 4 0.101826435795706 0.270059013469062 0.0692851466881588
"125" "cLHS" 250 5 0.100192017002461 0.259092540610137 0.0676659363856199
"126" "cLHS" 250 6 0.109765395516553 0.281376317104638 0.0680616521736211
"127" "cLHS" 250 7 0.120028315069387 0.266011655892483 0.0688600836436603
"128" "cLHS" 250 8 0.0984913373859504 0.257474447846922 0.0679904060674575
"129" "cLHS" 250 9 0.101416630069099 0.261935942830243 0.0678584011434268
"130" "cLHS" 250 10 0.109260541996181 0.272072829439207 0.0721553475576445
"131" "cLHS" 250 11 0.109651324591276 0.275380281370421 0.0700883300205096
"132" "cLHS" 250 12 0.0989328179725719 0.273340146715831 0.0653449661241964
"133" "cLHS" 250 13 0.100964570350647 0.267030066186391 0.068697504768473
"134" "cLHS" 250 14 0.0984090224725664 0.258436859987509 0.06701201561729
"135" "cLHS" 250 15 0.101277816103997 0.260467773409943 0.0691293142368354
"136" "cLHS" 250 16 0.109003261909755 0.271809970816074 0.0641311637993351
"137" "cLHS" 250 17 0.11962358769195 0.267098275816584 0.0650504036512684
"138" "cLHS" 250 18 0.0982475740634069 0.257857966756282 0.0677305676786387
"139" "cLHS" 250 19 0.10939879570749 0.270959495171354 0.0761053546312409
"140" "cLHS" 250 20 0.109446310350026 0.273954329619261 0.0639277797161535
"141" "cLHS" 250 21 0.101318148841569 0.26856224063252 0.0698211335178565
"142" "cLHS" 250 22 0.0984400730753644 0.26204638885643 0.0704330760808747
"143" "cLHS" 250 23 0.109188772702347 0.274798635434199 0.0717407394945464
"144" "cLHS" 250 24 0.101604450793048 0.258698846581911 0.0697932336409483
"145" "cLHS" 250 25 0.109780289758645 0.272021585780733 0.0699529614766893
"146" "cLHS" 250 26 0.144539751452966 0.280671889093378 0.0666278215975746
"147" "cLHS" 250 27 0.109813303984882 0.266918370447454 0.0683845023362415
"148" "cLHS" 250 28 0.10105966588803 0.261705952698359 0.0680237652282256
"149" "cLHS" 250 29 0.101122087731286 0.268160694280942 0.0688784098536258
"150" "cLHS" 250 30 0.0987951709651185 0.271544473076853 0.0703170486542586
"151" "cLHS" 300 1 0.123257102752598 0.26488575350749 0.066470175538919
"152" "cLHS" 300 2 0.11714456135713 0.261248480479061 0.0664058126012392
"153" "cLHS" 300 3 0.109654993434154 0.26801794766137 0.0661329876651346
"154" "cLHS" 300 4 0.123414829920607 0.26840195600745 0.0641752784771938
"155" "cLHS" 300 5 0.101056094676257 0.247708082225468 0.0666038350077074
"156" "cLHS" 300 6 0.10943199869049 0.265220808020131 0.0639539077744029
"157" "cLHS" 300 7 0.122921127424977 0.26474512198441 0.0676252510428664
"158" "cLHS" 300 8 0.122934710716508 0.263076721408268 0.0669909315244295
"159" "cLHS" 300 9 0.10954984519374 0.268725343271465 0.0645377435582757
"160" "cLHS" 300 10 0.101221927079242 0.252815847729026 0.0681521076143167
"161" "cLHS" 300 11 0.123215293369152 0.270365000149439 0.0645489427423633
"162" "cLHS" 300 12 0.109487459502888 0.272059473874361 0.0701884447236354
"163" "cLHS" 300 13 0.117132321031095 0.259671518322937 0.0645393992573594
"164" "cLHS" 300 14 0.12295740411161 0.266190496067929 0.0659904119724186
"165" "cLHS" 300 15 0.122910148780727 0.262060017883127 0.065349064375802
"166" "cLHS" 300 16 0.098498398200287 0.25264904670053 0.0651100498475373
"167" "cLHS" 300 17 0.117166953141106 0.259486087126888 0.0679819985145126
"168" "cLHS" 300 18 0.11515036312339 0.25294457349376 0.0673752855213773
"169" "cLHS" 300 19 0.123067424424112 0.27187956603871 0.0646864270754641
"170" "cLHS" 300 20 0.109338943220271 0.260112593173365 0.0645574007795333
"171" "cLHS" 300 21 0.098946704525521 0.260926888344162 0.0669863803109607
"172" "cLHS" 300 22 0.099045187801967 0.256182078855997 0.06447299175025
"173" "cLHS" 300 23 0.124470790995411 0.269549718560332 0.0646557819033821
"174" "cLHS" 300 24 0.109663932836671 0.2682253201398 0.0692439531322679
"175" "cLHS" 300 25 0.122802349307373 0.25578602165069 0.0678585622951884
"176" "cLHS" 300 26 0.109630085256611 0.262259326012805 0.0687459666755731
"177" "cLHS" 300 27 0.0989498516224078 0.255651030314915 0.0663433931753279
"178" "cLHS" 300 28 0.12345247989752 0.262753457224802 0.0651387882904702
"179" "cLHS" 300 29 0.115108926932305 0.251061893097836 0.0681776886951043
"180" "cLHS" 300 30 0.0981117918353282 0.250866943763446 0.0691079319058562
"181" "cLHS" 350 1 0.109436678143483 0.254576684108567 0.0666145753976509
"182" "cLHS" 350 2 0.101357707352176 0.252711945651335 0.0634497496301114
"183" "cLHS" 350 3 0.123727248509603 0.261382463647838 0.065483314912393
"184" "cLHS" 350 4 0.0982745989170763 0.245324522068423 0.0649482630150659
"185" "cLHS" 350 5 0.0985177218067674 0.242988856455102 0.0640803068648438
"186" "cLHS" 350 6 0.109494305413615 0.256808263528038 0.0648236641170772
"187" "cLHS" 350 7 0.120659964151359 0.244977163804383 0.0640916576015776
"188" "cLHS" 350 8 0.118188466409482 0.242319087837616 0.0669090078992586
"189" "cLHS" 350 9 0.112537368194418 0.265611201954743 0.0656174664976335
"190" "cLHS" 350 10 0.119688949757297 0.243043092259891 0.0646565568249277
"191" "cLHS" 350 11 0.117930966267769 0.244466109842405 0.0641069270730289
"192" "cLHS" 350 12 0.0983045600766645 0.245119740607041 0.0645554121768744
"193" "cLHS" 350 13 0.0983045600766645 0.245747945629611 0.0657031541797238
"194" "cLHS" 350 14 0.0984847354535002 0.244643884042074 0.0667230135098783
"195" "cLHS" 350 15 0.115044159741599 0.246746375626148 0.0620304869213983
"196" "cLHS" 350 16 0.0984131179543287 0.245054829486343 0.0646263776937582
"197" "cLHS" 350 17 0.10939033634096 0.255323631858246 0.0659029394978137
"198" "cLHS" 350 18 0.122856504136884 0.256990862095095 0.0627705788697335
"199" "cLHS" 350 19 0.0985177218067674 0.242296920083969 0.06572789595317
"200" "cLHS" 350 20 0.122990759771982 0.255040921671233 0.0644118973878695
"201" "cLHS" 350 21 0.11996578299806 0.245777261098037 0.0636581942482326
"202" "cLHS" 350 22 0.0983004600720668 0.244057690528743 0.0656749409717609
"203" "cLHS" 350 23 0.0987993632159693 0.250975516860866 0.065390502092603
"204" "cLHS" 350 24 0.119306795605774 0.241076890496962 0.0622786684740788
"205" "cLHS" 350 25 0.12321852839605 0.263353719053272 0.0635465137067217
"206" "cLHS" 350 26 0.109342889451586 0.25627623341798 0.06528183750292
"207" "cLHS" 350 27 0.10951479661657 0.257184283346434 0.062722283609987
"208" "cLHS" 350 28 0.123003673747243 0.255989491176443 0.0646939952376438
"209" "cLHS" 350 29 0.109549410984277 0.252712435962863 0.0644682473997776
"210" "cLHS" 350 30 0.122820578648059 0.256603770780888 0.0617229273329656
"211" "cLHS" 400 1 0.0988095000141731 0.242916205113947 0.0631834812750002
"212" "cLHS" 400 2 0.0984919057072388 0.240261995507696 0.0617041556099015
"213" "cLHS" 400 3 0.0987958454638535 0.244821786332273 0.0630813050869301
"214" "cLHS" 400 4 0.098353497633095 0.238431114552468 0.0626564195533309
"215" "cLHS" 400 5 0.0986578637906641 0.245363380228368 0.0638354712356835
"216" "cLHS" 400 6 0.098903558562794 0.247664441732339 0.061106170333025
"217" "cLHS" 400 7 0.0984616113767949 0.237803600607543 0.0625137465635612
"218" "cLHS" 400 8 0.101123518075303 0.239154854919296 0.0618573380518759
"219" "cLHS" 400 9 0.10930931531177 0.256235282778732 0.0640531812756548
"220" "cLHS" 400 10 0.0984174742511881 0.245656531044662 0.0630420580905438
"221" "cLHS" 400 11 0.0983659972805833 0.237588986524662 0.0619281224573473
"222" "cLHS" 400 12 0.0987698080624346 0.244419843921506 0.0611596600449171
"223" "cLHS" 400 13 0.109138175063775 0.249010620428452 0.0621483419582142
"224" "cLHS" 400 14 0.0983488305238358 0.237472474617499 0.0628306563299523
"225" "cLHS" 400 15 0.109361791635547 0.249167604008316 0.0623636906503202
"226" "cLHS" 400 16 0.0990113891469583 0.247135507602981 0.0619107171707037
"227" "cLHS" 400 17 0.109544100031765 0.251905416051244 0.0604536205038835
"228" "cLHS" 400 18 0.0983488305238358 0.236818182887957 0.0612915041112198
"229" "cLHS" 400 19 0.0987662892576549 0.245635691440776 0.0631373322342101
"230" "cLHS" 400 20 0.0980332695698673 0.239760912765174 0.0625517096211241
"231" "cLHS" 400 21 0.0984436055557568 0.237528927061195 0.0627026082266652
"232" "cLHS" 400 22 0.0985610366730806 0.239766461419141 0.0624435622196281
"233" "cLHS" 400 23 0.0988772770987426 0.243964747282249 0.0611796880421739
"234" "cLHS" 400 24 0.0987952837457057 0.246297779540614 0.0619025158903228
"235" "cLHS" 400 25 0.0982479378988401 0.238783327120943 0.0639381659747403
"236" "cLHS" 400 26 0.0983493947918812 0.239904676856892 0.0618497889044624
"237" "cLHS" 400 27 0.0988054161082122 0.244963819747775 0.0623730366422026
"238" "cLHS" 400 28 0.0984227258151894 0.239358923074199 0.0630288236177928
"239" "cLHS" 400 29 0.0983840157143032 0.237509991032573 0.0624988403968922
"240" "cLHS" 400 30 0.098946704525521 0.247463952171046 0.0618189022436948
"241" "cLHS" 450 1 0.0980028334673525 0.232603475876747 0.057835022088583
"242" "cLHS" 450 2 0.0981117918353282 0.231987156010853 0.058563887911438
"243" "cLHS" 450 3 0.0983004600720668 0.232949347443093 0.0590468879703421
"244" "cLHS" 450 4 0.0980591943706762 0.232113390421343 0.0580000830070372
"245" "cLHS" 450 5 0.108819287792246 0.244177343818552 0.0603817767443605
"246" "cLHS" 450 6 0.109181894313048 0.244300041192098 0.0593858865859916
"247" "cLHS" 450 7 0.109082023584385 0.242113639892988 0.0602910990840036
"248" "cLHS" 450 8 0.0980028334673525 0.231277622512935 0.0588096997568637
"249" "cLHS" 450 9 0.098198947736611 0.230379427398888 0.0591658424591343
"250" "cLHS" 450 10 0.100962182067485 0.232492354947502 0.0590089020641723
"251" "cLHS" 450 11 0.0980633044625388 0.232767352704415 0.0595279400767221
"252" "cLHS" 450 12 0.0980028334673525 0.233358238748675 0.0595328928332736
"253" "cLHS" 450 13 0.0982401350563865 0.231110767203488 0.0592105214315292
"254" "cLHS" 450 14 0.0980291582187246 0.231388788031605 0.0590511958533253
"255" "cLHS" 450 15 0.0982704976624505 0.231145772232236 0.058417972143
"256" "cLHS" 450 16 0.108851771528859 0.243603830005114 0.0602034575934768
"257" "cLHS" 450 17 0.0982442375785144 0.232429957918494 0.0590192356534029
"258" "cLHS" 450 18 0.108819287792246 0.242855942481833 0.0599060153284335
"259" "cLHS" 450 19 0.0980291582187246 0.23087169271105 0.0593214732859121
"260" "cLHS" 450 20 0.0980332695698673 0.230461590597802 0.0585731376743757
"261" "cLHS" 450 21 0.098198947736611 0.231100267709597 0.0591020932422935
"262" "cLHS" 450 22 0.100713368047815 0.232625461880614 0.0582818627387598
"263" "cLHS" 450 23 0.10907606645565 0.241759955786762 0.0592194334768486
"264" "cLHS" 450 24 0.0980332695698673 0.231675991288027 0.0598649780778209
"265" "cLHS" 450 25 0.108851771528859 0.242665267066845 0.0587961934714729
"266" "cLHS" 450 26 0.108983830337287 0.243396736594167 0.0590462016562654
"267" "cLHS" 450 27 0.0980591943706762 0.231733050013924 0.0589721590071185
"268" "cLHS" 450 28 0.0979987208393207 0.231416706394811 0.0585006575637545
"269" "cLHS" 450 29 0.0982442375785144 0.231106531458382 0.0598826187990066
"270" "cLHS" 450 30 0.108857740931905 0.243081139693387 0.0585880618986231
